NAME	DESCRIPTION	SP-IR-P35-1	SP-IR-P35-2	SP-IR-P35-3	SP-IR-P35-4	SP-IR-P35-5	SP-IR-P35-6	MI-P35-1	MI-P35-2	MI-P35-3	MI-P35-4	MI-P35-5	MI-P35-6
CELF5	na	0	0	0.000979911	0.006278299	0.002145015	0.002145015	0	0.003071671	0.004825811	0.00310317	0.005065072	0
NCLN	na	0.025699746	0.033173241	0.03059412	0.037315815	0.029600111	0.029600111	0.037088321	0.030156397	0.019552493	0.032000225	0.033073339	0.048216186
S1PR4	na	0	0	0	0	0	0	0	0	0	0	0	0
GNA15	na	0.008487335	0.012670235	0.007578026	0.003061465	0.001777028	0.001777028	0.003921989	0.008690481	0.005085852	0.005523464	0.002384131	0.004974941
GNA11	na	0.052215184	0.063643321	0.041650653	0.04879103	0.049605939	0.049605939	0.060022247	0.041738391	0.044578104	0.033087944	0.032386598	0.047091531
RF00026.261	na	0	0	0	0	0	0	0	0	0	0	0	0
AES	na	0.238435689	0.238892795	0.241774244	0.234754003	0.231514026	0.231514026	0.14282483	0.162836499	0.132102525	0.151831882	0.154018796	0.13313398
TLE2	na	0.131056867	0.124284759	0.134988796	0.139056152	0.123830098	0.123830098	0.081958972	0.091886333	0.096096201	0.100969967	0.101260827	0.066273346
ENSSSCG00000024588	na	0	0.001380912	0.00069315	0	0.00069315	0.00069315	0.000998312	0	0	0	0	0.000998312
ENSSSCG00000033090	na	0	0.002097059	0.002079775	0	0.001305485	0.001305485	0	0	0	0	0	0.001681006
ENSSSCG00000036792	na	0.003638786	0.002842821	0.001863691	0.003135348	0.00266705	0.00266705	0.009346722	0.004444444	0.010899104	0.016683539	0.009235207	0.004476865
RF00026.262	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000034545	na	0.05601466	0.062628248	0.082169807	0.077316907	0.071064779	0.071064779	0.083939134	0.069831403	0.062046003	0.061976768	0.083124827	0.050930455
ENSSSCG00000013471	na	0	0.001655443	0.001128383	0.001148257	0	0	0	0.001221527	0	0.003055897	0	0.001221527
ENSSSCG00000039774	na	0.002327996	0.002327996	0.00184778	0.001729089	0	0	0.01681654	0.011346701	0.006605745	0.008877143	0.007427803	0.002544221
ZNF555	na	0.025631601	0.032274212	0.030220851	0.032415335	0.02980698	0.02980698	0.17106948	0.163028743	0.195152199	0.155128504	0.139127768	0.149795347
ZNF554	na	0.051210479	0.031647086	0.032224801	0.040478139	0.044544267	0.044544267	0.022440165	0.031070063	0.023816304	0.039128639	0.021034752	0.022448585
THOP1	na	0.072647737	0.051468432	0.053203748	0.042800196	0.060328843	0.060328843	0.024017817	0.019217893	0.017738101	0.031434676	0.031236372	0.030747513
SGTA	na	0.058200154	0.057252664	0.062141594	0.068315215	0.063273353	0.063273353	0.046900132	0.0553031	0.053923928	0.057225712	0.041785939	0.065915282
SLC39A3	na	0.015777139	0.015214495	0.012747934	0.010654213	0.018357451	0.018357451	0.021382376	0.018308542	0.018431538	0.018147438	0.03199266	0.014157049
DIRAS1	na	0.001637799	0.001922463	0	0.002948241	0.001922463	0.001922463	0	0	0	0	0	0
GNG7	na	0.138600001	0.127997807	0.140802746	0.137763325	0.129794403	0.129794403	0.148362148	0.154751371	0.164474526	0.163891439	0.141740038	0.148773403
GADD45B	na	0.065816899	0.049415284	0.050915483	0.062144264	0.049552395	0.049552395	0.03585651	0.024262516	0.031037039	0.033451392	0.016673561	0.02328005
LMNB2	na	0.024320035	0.03759427	0.028654281	0.029618753	0.027385547	0.027385547	0.025767417	0.037711879	0.022840328	0.038061949	0.032392079	0.029741828
ENSSSCG00000032886	na	0	0	0	0	0	0	0	0	0	0	0	0
TIMM13	na	0.041284706	0.026382059	0.043527394	0.03153033	0.034330477	0.034330477	0.054542863	0.048963912	0.044334187	0.068184636	0.054306218	0.080839009
TMPRSS9	na	0.07928297	0.088479603	0.085195321	0.080237449	0.088170854	0.088170854	0.072179392	0.0510204	0.060322675	0.060514476	0.069212866	0.091001763
SPPL2B	na	0.055400764	0.051689783	0.048635903	0.060163179	0.062760226	0.062760226	0.04212776	0.054242465	0.056034825	0.04499185	0.044923986	0.049417464
ENSSSCG00000039777	na	0.006114285	0.003560587	0.00994803	0.008485232	0.003509781	0.003509781	0.00263702	0.00217644	0.001707174	0.005725723	0.003579306	0.012054011
LSM7	na	0.038024824	0.047934373	0.044918291	0.043513499	0.045620563	0.045620563	0.034183469	0.058295696	0.032722841	0.050027884	0.045325894	0.030113292
LINGO3	na	0	0	0	0	0	0	0	0	0	0	0	0
PEAK3	na	0.000784582	0	0	0	0	0	0	0	0.000907952	0	0	0.000907952
OAZ1	na	0.094567984	0.094907378	0.08645097	0.113365817	0.095476041	0.095476041	0.127701224	0.09418012	0.144706027	0.105347652	0.121204254	0.126186579
DOT1L	na	0.289488407	0.263667399	0.240965606	0.271003382	0.254301514	0.254301514	0.322580073	0.442407998	0.39880814	0.359130806	0.398451212	0.414641955
ENSSSCG00000013453	na	0.092284967	0.117553639	0.085332715	0.079801688	0.081795371	0.081795371	0.056145944	0.06190009	0.074800066	0.068955401	0.068622591	0.081706083
SF3A2	na	0.103686831	0.110903425	0.103103111	0.129387945	0.1049773	0.1049773	0.12881715	0.106548836	0.101126454	0.090417635	0.086130845	0.125222338
AMH	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000031899	na	0	0.004559571	0	0.001978139	0	0	0	0.001782067	0	0	0.001782067	0
ENSSSCG00000040157	na	0.211003168	0.199021846	0.192687707	0.209971371	0.212569638	0.212569638	0.204852809	0.233391843	0.229093646	0.221539244	0.218441999	0.24852445
IZUMO4	na	0.020353068	0.019819911	0.024509822	0.015218914	0.026875137	0.026875137	0.034958702	0.024632729	0.028915416	0.022847131	0.019234032	0.019718556
MOB3A	na	0.048090897	0.040415866	0.03897081	0.050118013	0.026295554	0.026295554	0.045287792	0.028521861	0.040248333	0.030376056	0.043142931	0.04356224
MKNK2	na	0.102068499	0.103019683	0.111201315	0.093802132	0.098308431	0.098308431	0.067289111	0.051554131	0.070126761	0.076055711	0.073714799	0.071460398
BTBD2	na	0.122708795	0.110723487	0.082543101	0.094730753	0.100557655	0.100557655	0.076914227	0.076190328	0.090944456	0.082893258	0.074842316	0.086480337
CSNK1G2	na	0.067932346	0.065752793	0.081030824	0.06868453	0.058035694	0.058035694	0.07581145	0.084949566	0.073941659	0.084702113	0.074815629	0.070135488
SCAMP4	na	0.042703655	0.034909971	0.041698456	0.042597145	0.044452063	0.044452063	0.017372908	0.018293518	0.023136453	0.024111359	0.019034899	0.018202134
ADAT3	na	0.000817309	0.003623828	0	0	0.000949844	0.000949844	0	0	0	0	0	0
ENSSSCG00000025631	na	0.103145396	0.10907176	0.097761061	0.088582486	0.104332176	0.104332176	0.05400152	0.039799904	0.061660507	0.066118156	0.043681603	0.040780239
ABHD17A	na	0.098677808	0.089506782	0.08165883	0.082925373	0.083956474	0.083956474	0.082261264	0.068185791	0.083992483	0.061700653	0.067091086	0.068907402
KLF16	na	0.019804281	0.007966612	0.01037667	0.010694451	0.020373834	0.020373834	0.008195643	0.011138582	0.006803206	0.009067823	0.011818467	0.009070046
REXO1	na	0.052776846	0.049174944	0.062957432	0.045812862	0.054539709	0.054539709	0.091139649	0.070719314	0.069793011	0.048847875	0.055426074	0.062670782
ENSSSCG00000038673	na	0	0	0	0	0	0	0.001988471	0.003388574	0	0	0.002172084	0
ATP8B3	na	0	0.000567768	0.001439566	0.000567768	0	0	0.002355957	0.001858186	0.001388304	0.003462806	0	0
ONECUT3	na	0	0.002186922	0.001836494	0	0.00127263	0.00127263	0.00428775	0.001499829	0.00127736	0	0.001051834	0.004722727
TCF3	na	0.078102007	0.103116769	0.076122944	0.069889891	0.081027755	0.081027755	0.08748418	0.070213093	0.063844066	0.082926973	0.065390179	0.066917873
ENSSSCG00000038827	na	0.016964624	0.016175948	0.018617721	0.018965778	0.014209557	0.014209557	0.031029478	0.023043589	0.027260695	0.02781645	0.02902096	0.029471591
ENSSSCG00000013436	na	0.152769583	0.156807189	0.118362119	0.129705874	0.128386283	0.128386283	0.118371609	0.085178953	0.129395379	0.120546527	0.129884769	0.123035181
MBD3	na	0.049853452	0.054497989	0.04891747	0.064899699	0.049500278	0.049500278	0.040853269	0.027155589	0.034426466	0.041096019	0.041087635	0.043036541
MEX3D	na	0.016771375	0.013324286	0.019402443	0.019566857	0.010898702	0.010898702	0.025982183	0.029761724	0.028858296	0.017783853	0.02663067	0.023872801
ENSSSCG00000019211	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000013434	na	0.005129297	0.004696509	0.005238543	0.003156554	0.002360476	0.002360476	0.006277776	0.001510745	0.005575004	0.001931352	0.003546372	0.001038149
ADAMTSL5	na	0.289799239	0.273195904	0.284384059	0.268371493	0.259453297	0.259453297	0.241165591	0.244813898	0.242167515	0.263182055	0.275789273	0.234492722
REEP6	na	0.002583341	0	0	0.00116638	0	0	0.002788248	0.002076039	0.0022328	0.001071422	0.003765218	0
PCSK4	na	0.007855912	0.005332004	0.004329581	0.011936097	0.00639039	0.00639039	0.009702104	0.013801992	0.012754223	0.021885703	0.012363554	0.014175036
C19orf25	na	0.026625888	0.044936477	0.041303012	0.042950861	0.05476079	0.05476079	0.039562776	0.023060609	0.03439263	0.025574841	0.03892399	0.04210431
APC2	na	0.070274279	0.061006007	0.065221946	0.060338456	0.062053968	0.062053968	0.083450372	0.078648562	0.068934114	0.076293432	0.075964162	0.062734399
RPS15	na	0.363495467	0.340384405	0.349516148	0.336353869	0.328012287	0.328012287	0.555974081	0.496130888	0.577027667	0.584992798	0.616948481	0.556835888
DAZAP1	na	0.136521793	0.097896129	0.117787555	0.109398769	0.104620683	0.104620683	0.0867602	0.106258839	0.092382409	0.105044859	0.099571552	0.11810056
GAMT	na	0.009311615	0.013970338	0.009296585	0.008435108	0.00942892	0.00942892	0.002540975	0.003772378	0.005893152	0.002119296	0.006224322	0.007363679
NDUFS7	na	0.44989486	0.483856144	0.435199387	0.466093093	0.452195199	0.452195199	0.44072089	0.500228521	0.395245455	0.403230525	0.459408525	0.421948986
MUM1	na	0.280370901	0.290664108	0.268820394	0.291121374	0.247815745	0.247815745	0.291753001	0.29065902	0.307607193	0.282529542	0.255217486	0.259748098
EFNA2	na	0.003578422	0.012786654	0.002761792	0.006230859	0.005897686	0.005897686	0.002590153	0.003302696	0.00685506	0.002329243	0.001563297	0.001778221
CIRBP	na	0.309053903	0.32349727	0.321588117	0.32428659	0.342802558	0.342802558	0.303698553	0.300113884	0.311422393	0.327518789	0.298615295	0.333022102
C19orf24	na	0	0.001229785	0	0	0.002644161	0.002644161	0	0	0	0	0	0
MIDN	na	0.024183812	0.022158595	0.033639126	0.023502557	0.020931346	0.020931346	0.025825989	0.026686283	0.029862942	0.017639106	0.026035018	0.02461397
ATP5F1D	na	0.113165977	0.135711134	0.127660627	0.118938571	0.124429396	0.124429396	0.14789582	0.154086239	0.149288878	0.142852343	0.144102976	0.137425036
ENSSSCG00000034339	na	0.050265205	0.047252637	0.055739203	0.057601282	0.047699053	0.047699053	0.049789995	0.045899991	0.062013216	0.043816112	0.07088951	0.033273269
STK11	na	0.096372608	0.067270755	0.082657894	0.099249521	0.078610983	0.078610983	0.110135193	0.083733242	0.066512558	0.10562771	0.094337239	0.074632776
SBNO2	na	0.106202408	0.109994951	0.073791134	0.107665114	0.106885918	0.106885918	0.100250646	0.074093387	0.091047004	0.071474685	0.0705148	0.081028507
GPX4	na	0.113585782	0.113106219	0.104691436	0.106214543	0.117177232	0.117177232	0.165486073	0.164350722	0.191220775	0.195332318	0.147564065	0.166021598
POLR2E	na	0.098161516	0.089240832	0.08712699	0.099457721	0.094125184	0.094125184	0.121033148	0.118383927	0.087313509	0.106081217	0.109562219	0.105855032
ARHGAP45	na	0.011761711	0.011033807	0.001227165	0.001335018	0.004449741	0.004449741	0.006211944	0	0.003983208	0.008801127	0.00642636	0
ABCA7	na	0	0	0	0	0	0	0	0	0	0	0	0
CNN2	na	0.052768494	0.04583674	0.056970553	0.052745004	0.047412273	0.047412273	0.047078216	0.046919927	0.043143078	0.062763521	0.049740245	0.030069079
TMEM259	na	0.099829041	0.131668796	0.108738719	0.120531521	0.11418826	0.11418826	0.172758361	0.107679444	0.148114563	0.096870083	0.125674247	0.124478229
GRIN3B	na	0	0	0	0	0	0	0	0	0	0	0	0
WDR18	na	0.018190996	0.026303588	0.024267641	0.014047878	0.017772173	0.017772173	0.010949478	0.014515865	0.009118004	0.008614499	0.012979764	0.018349132
ARID3A	na	0.020871751	0.021197159	0.012245465	0.009075314	0.016848942	0.016848942	0.022331898	0.012632503	0.022821089	0.024479033	0.015407189	0.017906584
KISS1R	na	0	0	0	0.001006025	0	0	0	0.00097517	0	0.001447956	0	0
R3HDM4	na	0.030088958	0.025309389	0.025264555	0.031385324	0.028040773	0.028040773	0.025224079	0.015522449	0.010804269	0.008303011	0.019123497	0.021078935
RF00026.263	na	0	0	0	0	0	0	0	0	0	0	0	0
MED16	na	0.075651491	0.06588031	0.066678772	0.095539812	0.105324904	0.105324904	0.055567426	0.072292272	0.070889603	0.051980416	0.054682243	0.058093357
ELANE	na	0	0.002772303	0.001053172	0.003385211	0.000719501	0.000719501	0.001739455	0.006310538	0.004275157	0.002182933	0.005951272	0
CFD	na	0.016537552	0.035725928	0.028111317	0.03232984	0.024777884	0.024777884	0	0	0	0	0	0
PRTN3	na	0	0	0	0	0	0	0	0	0	0	0	0
AZU1	na	0	0	0	0	0	0	0	0	0	0	0	0
PLPPR3	na	0.017196261	0.020303779	0.022898433	0.022530955	0.011639917	0.011639917	0.020003042	0.023732374	0.010078657	0.018274145	0.013796365	0.019214977
ENSSSCG00000013421	na	0.063512766	0.061845662	0.060313787	0.082983853	0.08885071	0.08885071	0.082427275	0.104880802	0.118870614	0.087209443	0.102642057	0.121253272
ENSSSCG00000021387	na	0	0	0	0	0	0	0	0	0	0	0	0
MISP	na	0	0	0	0	0	0	0.006276695	0.007688185	0.005496724	0.002008317	0.006833868	0.001998863
PALM	na	0.00628847	0.00806487	0.004654754	0.005074286	0.007118014	0.007118014	0.009477217	0.005213703	0.003433295	0.006955108	0.009928296	0
PRSS57	na	0.000841079	0	0.000841079	0	0	0	0	0	0	0.008204689	0	0.005403511
FSTL3	na	0.065941675	0.067309127	0.076873858	0.06616112	0.073770335	0.073770335	0.183193204	0.171205666	0.215491814	0.186446216	0.188274219	0.210253083
RNF126	na	0.042931056	0.024299795	0.030176872	0.028698248	0.036742877	0.036742877	0.029860816	0.036933682	0.043639048	0.032855861	0.044369862	0.031628316
FGF22	na	0.001329204	0.003617617	0.001329204	0	0.002301477	0.002301477	0	0	0	0	0	0
POLRMT	na	0.026453863	0.020108379	0.02608017	0.033338719	0.034171044	0.034171044	0.031416033	0.043016263	0.030699244	0.029629057	0.027307605	0.027275508
HCN2	na	0.018350796	0.0071926	0.004448372	0.002787579	0.005371259	0.005371259	0.000513493	0.014811195	0.006658288	0.013514292	0.007862217	0.010254494
ENSSSCG00000027907	na	0.234905177	0.262337996	0.242009391	0.283762511	0.24537725	0.24537725	0.290281886	0.324563874	0.350060787	0.285167909	0.310546328	0.339274918
GZMM	na	0.025251598	0.022016407	0.020880054	0.013893932	0.016764664	0.016764664	0.006097531	0.010067666	0.00412531	0.010619907	0.007568947	0.00825828
CDC34	na	0.156741828	0.145631985	0.12853752	0.144537486	0.14944135	0.14944135	0.092419192	0.106279702	0.126697988	0.119151293	0.090718071	0.095203173
ENSSSCG00000036640	na	0.02902364	0.039175098	0.037816734	0.043870839	0.037767843	0.037767843	0.063485403	0.039121826	0.050861206	0.051803772	0.064780626	0.054200611
TPGS1	na	0.068494888	0.074090874	0.090566487	0.080288871	0.100990513	0.100990513	0.056885289	0.061634467	0.044769296	0.05328304	0.050659741	0.051463202
ENSSSCG00000039500	na	0.012956975	0.013940208	0.006326604	0.010720402	0.005551131	0.005551131	0.005743788	0.012933068	0.011791886	0.004991304	0.00711135	0.009524562
ODF3L2	na	0.000573171	0	0.000573171	0	0	0	0	0	0	0	0	0
ENSSSCG00000040083	na	0.001219708	0.001219708	0	0.001219708	0	0	0.001653511	0.001653511	0.002399999	0	0	0.001653511
C2CD4C	na	0	0	0	0	0	0	0	0	0	0	0	0
THEG	na	0	0	0	0	0	0	0.001962237	0.00535367	0.000707962	0.00052976	0	0.003572456
MIER2	na	0.094333619	0.078317999	0.089485234	0.100991397	0.094167111	0.094167111	0.117330911	0.078369914	0.110061423	0.083081355	0.096053366	0.096121027
ENSSSCG00000014004	na	0.001302499	0.000723123	0.001302499	0.000723123	0.00143064	0.00143064	0.004591366	0.00265775	0.007592814	0.005298253	0.006398647	0.006308628
ENSSSCG00000039815	na	0	0	0.001310211	0.000769334	0	0	0.004709275	0.003529624	0.005687303	0.004135953	0.003918654	0.002397271
ENSSSCG00000039574	na	0.019490292	0.029151248	0.033451894	0.023260938	0.020426694	0.020426694	0.037549352	0.036990232	0.053088479	0.031419663	0.036314089	0.038637241
FLT4	na	0	0.001898029	0.001464194	0.000637014	0	0	0.000561123	0.001193076	0	0	0	0.003386103
SCGB3A1	na	0.001588933	0.006466271	0.004091381	0.001017907	0	0	0.000948222	0	0	0	0	0
CNOT6	na	0.409729961	0.407964097	0.414348323	0.373756926	0.376164998	0.376164998	0.427861713	0.41558768	0.408528591	0.435355075	0.390409183	0.456074221
ENSSSCG00000034575	na	0	0	0.001206017	0	0	0	0	0	0	0	0	0
GFPT2	na	0.00980507	0.010955906	0.006406621	0.00587084	0.024417182	0.024417182	0.003454058	0.002723081	0.007469086	0.004697447	0.003185795	0
MAPK9	na	0.362663969	0.392611871	0.343101287	0.345229147	0.342013191	0.342013191	0.257050801	0.208541672	0.20404952	0.235040386	0.26254378	0.209978462
ENSSSCG00000040364	na	0	0	0	0	0	0	0	0	0	0	0	0
RASGEF1C	na	0.009627411	0.012962237	0.025457773	0.018752192	0.01041885	0.01041885	0.026923486	0.016920469	0.019950473	0.026907889	0.039358246	0.022841069
ENSSSCG00000014013	na	0.654509455	0.645735394	0.64390861	0.602108427	0.573229028	0.573229028	0.457383159	0.454416241	0.44190963	0.465590505	0.429670732	0.506755042
MIR340	na	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D9B	na	0.202739988	0.171728908	0.163459072	0.177511825	0.15778301	0.15778301	0.095752106	0.079677068	0.088328929	0.09974304	0.088537881	0.102567094
MRNIP	na	0.058582716	0.032515467	0.042360962	0.040503163	0.058930393	0.058930393	0.061203233	0.041992646	0.050389487	0.070958834	0.039956925	0.049370479
SQSTM1	na	0.247628711	0.300238152	0.255135596	0.257612811	0.273822442	0.273822442	0.226425768	0.222912985	0.24778464	0.270755755	0.300538848	0.280604968
MGAT4B	na	0.311132244	0.292169795	0.311224396	0.283579035	0.318461252	0.318461252	0.1610407	0.138425018	0.144444947	0.131496583	0.156706017	0.126749537
LTC4S	na	0.009145191	0.006254886	0.006883964	0.010350842	0.0007945	0.0007945	0.005731413	0.00626909	0.003090491	0.002839426	0.001255993	0.002170935
MAML1	na	0.27390543	0.264800197	0.267432702	0.290446262	0.290496046	0.290496046	0.283521039	0.322139374	0.331541714	0.314676157	0.338860956	0.316619051
CANX	na	0.473842255	0.407359079	0.425768341	0.467657855	0.448527889	0.448527889	0.614000122	0.592799244	0.625007698	0.582370484	0.630597189	0.61625266
CBY3	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000014022	na	1.226056402	1.136692955	1.220924497	1.242739673	1.116568866	1.116568866	0.885517663	0.89772538	0.915502255	0.827457885	0.833379417	0.91390042
RUFY1	na	0.609368183	0.513656723	0.574954122	0.542889094	0.567806234	0.567806234	0.440921588	0.416969349	0.410304277	0.419085724	0.409754079	0.439257556
ADAMTS2	na	0.071373069	0.106203166	0.102081003	0.10070809	0.093211616	0.093211616	0.033339442	0.044517145	0.042289224	0.0461243	0.04232352	0.029705195
ZNF354C	na	0.128859894	0.136323523	0.139925833	0.154577185	0.124199272	0.124199272	0.141889412	0.118631026	0.126063919	0.107857518	0.129461614	0.098485952
GRM6	na	0	0.000914292	0	0.001341818	0	0	0	0	0	0	0	0
ZNF454	na	0.031485114	0.032018099	0.036199002	0.038763399	0.035880239	0.035880239	0.031857477	0.041112083	0.022497159	0.038793513	0.037066852	0.02690082
ZFP2	na	0.252825803	0.218829099	0.220761113	0.274736312	0.235701799	0.235701799	0.281647538	0.265164402	0.255863419	0.30230872	0.253388612	0.246085841
ENSSSCG00000028295	na	0.061494347	0.044799181	0.069371892	0.066954769	0.05830032	0.05830032	0.12038813	0.093989108	0.091570249	0.103049084	0.109184758	0.092468442
ENSSSCG00000034785	na	0.000736702	0	0	0	0	0	0.001140893	0	0	0	0	0.001140893
PROP1	na	0	0	0	0.001183184	0	0	0	0	0	0	0	0
ENSSSCG00000031284	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035247	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000036688	na	0.148409144	0.164804175	0.168770517	0.174361337	0.16671149	0.16671149	0.169530441	0.168347536	0.170376603	0.165111135	0.153661347	0.171293918
CLK4	na	0.428957646	0.442489245	0.401640882	0.372348483	0.426762183	0.426762183	0.625208137	0.561861866	0.555088109	0.583887734	0.534016143	0.614451766
RF00100.47	na	0	0.001024985	0.001024985	0	0	0	0	0	0	0	0	0
COL23A1	na	0.000665802	0.003981923	0	0.001660836	0.002537547	0.002537547	0.010867683	0.009702376	0.006993235	0.009858957	0.013089462	0.013548102
PHYKPL	na	0.093528014	0.050099302	0.069511156	0.08277003	0.097159768	0.097159768	0.094503454	0.068981744	0.072594023	0.088597148	0.088015818	0.077776887
HNRNPAB	na	0.053224917	0.056690086	0.046445873	0.055579896	0.056992001	0.056992001	0.053959671	0.046925256	0.068497787	0.060359972	0.063606087	0.05308695
ENSSSCG00000039635	na	0.016324712	0.017090216	0.016430448	0.026675145	0.03174383	0.03174383	0.058637949	0.066349427	0.054655469	0.050986802	0.064641829	0.070785401
RMND5B	na	0.370534834	0.356178373	0.323032136	0.328399561	0.330756834	0.330756834	0.337642257	0.304582504	0.350723618	0.292929061	0.299331714	0.333440945
N4BP3	na	0.00418889	0.001299499	0	0.0008495	0.000855793	0.000855793	0.00689277	0.00170953	0.005919498	0.007210053	0.00294534	0.005031375
B4GALT7	na	0.007484775	0.012208982	0.010966288	0.021780906	0.009220857	0.009220857	0.012716501	0.00477351	0.009369959	0.005948258	0.017304767	0.012336839
TMED9	na	0.074472033	0.066637275	0.07227845	0.063923019	0.071019657	0.071019657	0.125505676	0.107538897	0.143080136	0.126078369	0.107345183	0.11703101
ENSSSCG00000014037	na	0	0	0	0	0	0	0	0	0	0	0	0
FAM193B	na	0.215047538	0.216748387	0.216815544	0.224262391	0.206647188	0.206647188	0.153906318	0.159713598	0.212308236	0.196581879	0.162479397	0.148939385
DDX41	na	0.022547164	0.01294583	0.018652027	0.012874779	0.016588934	0.016588934	0.01607876	0.010587591	0.018480753	0.013172287	0.017037965	0.024046089
DOK3	na	0	0.000785957	0	0.001329204	0.001329204	0.001329204	0.005757613	0.001962237	0.007491237	0.004354797	0	0.005283987
ENSSSCG00000031582	na	0	0	0	0	0	0	0	0	0	0	0	0
PDLIM7	na	0.502943177	0.509882881	0.490808943	0.526596505	0.561431943	0.561431943	0.372573815	0.344949424	0.402536233	0.373625871	0.368464163	0.348052361
DBN1	na	0.005821212	0.003340884	0.004742704	0.002287079	0.006233094	0.006233094	0.016028007	0.006358226	0.00784414	0.005172486	0.009932903	0.002650515
PRR7	na	0.006150836	0.0076458	0.00502695	0.003946403	0.00418468	0.00418468	0.002257412	0.002553884	0.003136941	0.011122976	0.004420984	0.007935038
GRK6	na	0.102837686	0.099528218	0.128001867	0.099683579	0.103901879	0.103901879	0.077600332	0.076645746	0.060522347	0.072688589	0.083502326	0.065923418
F12	na	0	0.002556046	0	0.001300536	0	0	0	0.005304819	0	0	0	0.001472742
SLC34A1	na	0	0	0	0	0	0	0	0	0	0	0	0
RGS14	na	0.001403947	0.001888209	0.002591704	0.006655245	0.003734417	0.003734417	0.000790762	0.000971893	0	0.002635333	0.004393373	0.002083305
LMAN2	na	0.085788804	0.093897897	0.070697161	0.092148871	0.084914128	0.084914128	0.093592186	0.114207746	0.106932406	0.103879234	0.079156085	0.096086397
MXD3	na	0.027168937	0.026867432	0.022150182	0.023527205	0.024042028	0.024042028	0.014064938	0.021048785	0.013166697	0.024265394	0.022930201	0.018938918
PRELID1	na	0.077373224	0.081837941	0.075309851	0.070676993	0.074215083	0.074215083	0.067486968	0.069993316	0.069475937	0.086812477	0.064269181	0.073102182
RAB24	na	0.102184059	0.086632136	0.102361727	0.096974019	0.110335805	0.110335805	0.039231612	0.043189919	0.059536407	0.056190445	0.054612836	0.071088176
NSD1	na	0.982915846	1.040934125	1.030953891	1.021522858	1.091322325	1.091322325	1.047780915	1.045166604	1.0743773	1.027996978	1.113029279	1.105387365
RF00026.264	na	0	0	0	0	0	0	0	0	0	0	0	0
FGFR4	na	0	0.0080405	0	0.0080405	0	0	0	0	0	0	0	0.001539887
ssc-mir-7138	na	0	0	0	0	0	0	0	0	0	0	0	0
ZNF346	na	0.123318293	0.095259202	0.135345167	0.093421016	0.119626643	0.119626643	0.081462662	0.067454658	0.055863979	0.084575488	0.070504856	0.070123216
UIMC1	na	0.055450653	0.060003986	0.050160756	0.067758484	0.049532458	0.049532458	0.013467457	0.015907418	0.015215671	0.022735582	0.024079167	0.020218552
HK3	na	0.101483261	0.086900394	0.114001768	0.112608826	0.106246399	0.106246399	0.050500324	0.084130276	0.053282479	0.08128645	0.062771752	0.053012481
UNC5A	na	0.014687733	0.007385737	0.008197341	0.010374567	0.008191831	0.008191831	0.00412786	0.004478735	0.005360045	0.012224786	0.001907302	0.003773299
TSPAN17	na	0.011448959	0.020537878	0.026128429	0.020450131	0.024265996	0.024265996	0.020200462	0.024815269	0.031869201	0.029999771	0.028060375	0.02277947
CDHR2	na	0.001880413	0.009977347	0.001085678	0.002263345	0.008391577	0.008391577	0.000601034	0.003391267	0.003884011	0.002983258	0.009235517	0.00324962
EIF4E1B	na	0	0	0	0	0	0	0	0	0	0	0	0
SNCB	na	0	0	0	0	0	0	0.001916585	0	0	0	0.003699658	0
GPRIN1	na	0	0	0	0	0	0	0	0	0	0	0	0
RNF44	na	0.201600544	0.195258086	0.203907714	0.190371973	0.169200787	0.169200787	0.225150973	0.22269999	0.23163853	0.28257504	0.252877699	0.220890097
FAF2	na	0.432159169	0.478754169	0.482390955	0.466134594	0.455833526	0.455833526	0.533386368	0.521680911	0.545062145	0.510847782	0.563486132	0.51602065
CLTB	na	0.088299623	0.103080609	0.085497328	0.103434565	0.083605883	0.083605883	0.085691596	0.050129251	0.068748297	0.060620436	0.065894933	0.066055359
ENSSSCG00000032389	na	0.020895122	0.020370064	0.019312474	0.025863888	0.033928403	0.033928403	0.027033123	0.036783667	0.038874495	0.053579835	0.043777442	0.023956396
HIGD2A	na	0.080438835	0.084456271	0.077048419	0.073133593	0.077109827	0.077109827	0.091098197	0.104782258	0.117902461	0.072410087	0.075022354	0.08875238
ENSSSCG00000029577	na	0.007949868	0.010171158	0.008151518	0.011703587	0.009394136	0.009394136	0	0	0	0	0	0
ARL10	na	0.05641949	0.059042111	0.054953177	0.050946573	0.068461828	0.068461828	0.040466325	0.046126837	0.055749928	0.057682186	0.045060607	0.051179733
ssc-mir-1271	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000014060	na	0.163436221	0.150750737	0.182742725	0.171520933	0.151312106	0.151312106	0.106497178	0.114078681	0.090045869	0.101805852	0.111968892	0.094261171
